year,month,avg_fare,avg_miles,num_rides
2018,11,11.277332180735804,6.069481974789844,8678369
2018,12,10.906821339569866,5.878371229557047,8588533
2019,1,10.503290424337058,5.774889615597439,8681707
2019,2,10.882254172539728,5.864817568415871,8735507
2019,3,11.086124916984113,5.991561298271758,10148660
2019,4,12.008419393615014,6.198836902062194,9117640
2019,5,12.842085844779252,6.352399037129641,9615145
2019,6,13.309744019485962,6.376964072962458,9239883
2019,7,11.976966940260084,6.340950388476305,9079775
2019,8,12.056189899604346,6.4604213041455605,9350604
2019,9,12.315839688092701,6.555198392182825,8867763
2019,10,12.255954560889261,6.656014029637704,9450361
2019,11,11.959405769684253,6.502873526305209,9257387
2019,12,11.926231373854032,6.503824998608916,9204333
2020,1,11.453905964365209,6.389422315614849,8768846
2020,2,11.757312515096494,6.350087056096969,9033554
2020,3,11.471983856627674,6.479023102986188,5305459
2020,4,10.863361033434494,6.330939855442014,1543436
2020,5,11.491126646104416,6.698593375540857,1912242
2020,6,12.00801615652494,6.6065879673962495,2672852
2020,7,11.982272895934047,6.449221132135113,3411894
2020,8,12.959644137454868,6.412783821813949,3505005
2020,9,13.068775023203958,6.482153219284,3641620
2020,10,12.718198489201107,6.362595323906733,3995502
2020,11,12.365705922862718,6.775033203711198,3000002
2020,12,12.542922593218869,6.790853123832734,3124287
2021,1,13.28903728534182,6.5854149571130645,3353704
2021,2,16.37528278213212,6.3813292064215394,3265323
2021,3,17.254022236807312,6.775285578970085,3827348
2021,4,18.485104432372605,6.879027446614972,3772968
2021,5,20.157649744217725,6.96728125758569,4052861
2021,6,21.354388282077135,6.998776805975537,4083181
2021,7,21.802984651287,7.050390679594179,4523376
2021,8,22.099694664507616,7.137391677453851,4340799
2021,9,19.905806738073895,7.031431768561581,4567418
2021,10,18.184207157183973,6.755975184306734,5272325
2021,11,16.822041981517152,6.868415219430809,4896107
2021,12,16.499354288378182,6.683924335934268,5040950
2022,1,14.89423076105198,6.21645226877282,4702596
2022,2,17.903306542128416,6.320160599168312,4650780
2022,3,18.500212469200534,6.643030084409166,5836140
2022,4,18.742846686688566,6.808724082730852,5624841
2022,5,20.479667745495657,7.095483229733784,5800734
2022,6,21.310648253255902,7.1781663985195845,5752474
2022,7,18.92215872081717,7.084795795272583,6062683
2022,8,18.917568204206482,7.303994892916093,5832998
2022,9,20.892877273418602,7.348663224349517,5792543
2022,10,17.66061825382293,7.038247635252081,6629866
2022,11,17.072219983883965,7.1429519909322226,5981620
2022,12,17.359775314789125,6.822636564166667,6226311
